,name,artist,release_date,genres
0,Laka,Emapea,2016,"['chillhop', 'jazz boom bap']"
1,Taking You Home,Javier Navarrete,2019,"['latin soundtrack', 'soundtrack']"
2,Need Your Love So Bad,B.B. King,2005,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']"
3,On a Hilltop Sat the Moon,Amon Tobin,2019,"['big beat', 'drill and bass', 'electronica', 'intelligent dance music', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']"
4,"Heroes Get Remembered, Legends Never Die",Four Year Strong,2007,"['alternative emo', 'anthem emo', 'easycore', 'emo', 'melodic hardcore', 'neon pop punk', 'new england emo', 'pop punk', 'screamo', 'worcester ma indie']"
5,Sweat (feat. Toy Connor),Party Favor,2014,"['bass trap', 'edm', 'electro house', 'electronic trap']"
6,better alone,Lykke Li,2018,"['art pop', 'dance pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']"
7,The Edge Of Glory,Lady Gaga,2011,"['dance pop', 'pop', 'pop dance']"
8,Turandot / Act 2: Ho una casa nellHonan,Giacomo Puccini,1973,"['classical', 'italian opera', 'italian romanticism', 'post-romantic era']"
9,Lamb of God,Tenth Avenue North,2012,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'christian rock', 'world worship', 'worship']"
10,...Baby One More Time,Britney Spears,1999,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
11,Shadow,Chromatics,2017,"['alternative dance', 'art pop', 'chillwave', 'electronica', 'electropop', 'indietronica', 'modern dream pop', 'neo-synthpop', 'new rave']"
12,Take Me Home - 2016 Remaster,Phil Collins,1985,"['mellow gold', 'rock drums', 'soft rock']"
13,I Lift My Hands,Chris Tomlin,2010,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
14,One Hand Killing,Twelve Foot Ninja,2016,['djent']
15,Somthings Missing,The Internet,2015,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']"
16,The Woman That Loves You,Japanese Breakfast,2016,"['art pop', 'bubblegrunge', 'eugene indie', 'indie pop', 'indie rock', 'philly indie']"
17,Girls That Dance,Masego,2016,"['alternative r&b', 'indie soul']"
18,What About Me (feat. Post Malone),Lil Wayne,2018,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
19,Psychosocial,Slipknot,2008,"['alternative metal', 'double drumming', 'nu metal', 'rap metal']"
20,Show Me,Audrey Assad,2010,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'indiecoustica', 'roots worship', 'world worship', 'worship']"
21,So Gone [What My Mind Says] - feat. Paul Wall,Jill Scott,2011,"['hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
22,"Life, Life (Andy Stott Remodel)",Ryuichi Sakamoto,2018,"['anime score', 'compositional ambient', 'japanese classical', 'japanese soundtrack']"
23,Stolen Moments,Cautious Clay,2018,"['alternative r&b', 'electropop', 'indie r&b', 'nyc pop', 'pop', 'vapor soul']"
24,Humping game,Rachel Feinstein,2011,"['comedienne', 'deep comedy', 'new comedy']"
25,Encore,Red Hot Chili Peppers,2016,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
26,Kanashimi no Hate,Elephant Kashimashi,2017,"['classic j-rock', 'j-pop', 'j-poprock', 'j-rock', 'japanese city pop']"
27,Rich Friends,Portugal. The Man,2017,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
28,Cold,Static-X,2001,"['alternative metal', 'groove metal', 'industrial metal', 'industrial rock', 'nu metal', 'rap metal', 'rap rock']"
29,Aria 2 - Pt. 5,Max Richter,2015,"['compositional ambient', 'post-minimalism', 'soundtrack']"
30,Whats Yours is Mine,The Raconteurs,2019,"['alternative rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']"
31,Little Boxes,Pete Seeger,1999,"['american folk revival', 'appalachian folk', 'banjo', 'folk', 'folk rock', 'old-time', 'traditional folk']"
32,View,SHINee,2015,"['k-pop', 'k-pop boy group', 'korean pop']"
33,Because Of Your Love,Phil Wickham,2009,"['anthem worship', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'indiecoustica', 'world worship', 'worship']"
34,In Your Eyes,Tribal Seeds,2011,"['reggae', 'reggae rock', 'roots reggae', 'west coast reggae']"
35,How Dat Sound (feat. 2 Chainz & Yo Gotti),Trey Songz,2018,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
36,Housework Song,Kimbo Childrens Music,1995,['childrens music']
37,Semper Fi,Trace Adkins,2011,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
38,Im A One Woman Man,George Jones,2006,"['country', 'country rock', 'honky tonk']"
39,Son Borinqueno,Dan Zanes,2019,"['childrens folk', 'childrens music', 'kindie rock', 'preschool childrens music']"
40,For A Boy,RaeLynn,2015,"['contemporary country', 'country pop', 'deep talent show']"
41,In My Head,Tommy Guerrero,1997,"['electronica', 'funk']"
42,Thought About You,Tim McGraw,2019,"['contemporary country', 'country', 'country road']"
43,Come Thou Fount,Sam Ock,2014,"['ambeat', 'world worship']"
44,sobeautiful,Musiq Soulchild,2008,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
45,Gettin In the Way,Jill Scott,2000,"['hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
46,I and I Survive - A-Bot Dub Remix,Bad Brains,2014,"['alternative rock', 'black punk', 'dc hardcore', 'hardcore punk', 'nyhc', 'punk', 'ska punk']"
47,Mad World,Tears For Fears,1983,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']"
48,Baby Oil,Galante El Emperador,2013,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
49,Shape Of Miracle,RADWIMPS,2018,"['j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'visual kei']"
